,0
0,-0.108466834
1,-8.69E-19
2,4.95E-19
3,3.92E-06
4,-3.51E-05
5,-4.04E-05
6,6.06E-06
7,-0.003946454
8,-0.001413373
9,0.000259706
10,0.001378628
11,0.000410173
12,0.000447838
13,0.00112761
14,-0.000629133
15,-0.002042576
16,-0.000549249
17,5.65E-05
18,-2.07E-06
19,1.39E-08
20,9.88E-19
21,-2.15E-08
22,-3.63E-06
23,-5.84E-05
24,0.000789512
25,0.004186475
26,0.005817085
27,-0.004978515
28,-0.00061343
29,0.009222418
30,0.011996017
31,0.007485683
32,-0.010563023
33,-0.015975786
34,0.003325209
35,0.01805198
36,0.003430028
37,-0.002270416
38,0.00166088
39,0.000255202
40,-2.42E-05
41,1.98E-07
42,1.93E-05
43,0.000354045
44,-0.000627191
45,-0.049935599
46,-0.147480203
47,-0.118076059
48,-0.137267161
49,-0.150227476
50,-0.051678699
51,0.053434651
52,0.163882838
53,0.108635145
54,-0.073355464
55,-0.08457061
56,0.038603247
57,0.014981898
58,-0.03428608
59,-0.001201859
60,0.000211722
61,7.70E-07
62,0.000340763
63,-0.001351803
64,-0.029205021
65,-0.232387803
66,-0.164557147
67,-0.108504752
68,-0.341385091
69,-0.101357492
70,-0.079998819
71,0.009429382
72,0.292761528
73,0.133699617
74,0.169505335
75,0.228589107
76,0.084967006
77,0.024309718
78,-0.112952573
79,-0.01235858
80,0.001047769
81,4.39E-07
82,-0.001521153
83,-0.019602592
84,0.169469062
85,0.172489463
86,-0.191913074
87,-0.289960917
88,-0.333005981
89,-0.188143485
90,-0.185589488
91,-0.098701308
92,0.237389363
93,0.527966599
94,0.25957283
95,0.106410781
96,0.326350616
97,0.207394719
98,-0.092690912
99,-0.057995576
100,0.00289167
101,0.000305001
102,-0.009223361
103,0.077817199
104,0.432845677
105,0.122815283
106,-0.422756665
107,-0.518930083
108,-0.302304248
109,-0.63024346
110,-0.475505298
111,0.273451503
112,0.130160288
113,0.037125712
114,0.04211374
115,-0.543492206
116,0.245240214
117,0.365286425
118,-0.414866448
119,-0.163260431
120,0.003008691
121,-0.003947377
122,0.052550108
123,0.135550473
124,0.155492577
125,-0.202707195
126,-0.21312614
127,0.299283624
128,-0.22216529
129,-0.583516535
130,-0.267858209
131,0.207674777
132,0.648268805
133,0.540237635
134,0.674978965
135,-0.317198005
136,-0.141009044
137,-0.049071303
138,-0.450360423
139,-0.12970768
140,0.005171221
141,-0.004487353
142,0.087025741
143,0.228762455
144,0.117640979
145,-0.387655705
146,-0.167641541
147,-0.263615864
148,-0.649638641
149,-0.562370977
150,-0.415553713
151,-0.215187015
152,0.245107939
153,0.251448892
154,0.98719582
155,0.470389037
156,0.673953788
157,-0.281706267
158,-0.463137097
159,-0.149084836
160,0.007038355
161,-0.000467495
162,0.06190882
163,0.220792335
164,-0.086143314
165,-0.451299842
166,0.018837725
167,-0.14452167
168,-0.449585948
169,-0.802727092
170,-0.521951345
171,-0.089598907
172,0.356197392
173,0.679890586
174,0.350676617
175,0.483420006
176,0.434767344
177,-0.418450687
178,-0.910374023
179,-0.160275049
180,-0.016449018
181,-0.010769901
182,0.126817274
183,0.178430391
184,-0.068397522
185,-0.261734058
186,-0.497768482
187,0.117591198
188,-0.416880664
189,-0.633354811
190,0.28584402
191,0.050037214
192,0.575562495
193,0.706749605
194,0.439241529
195,0.162781864
196,0.153275169
197,0.03260286
198,-0.781988542
199,-0.244154753
200,0.0111087
201,-0.015210625
202,0.217799203
203,0.186103775
204,0.253052539
205,-0.218733742
206,-0.456744817
207,0.37383497
208,0.002783361
209,0.220810148
210,0.330933533
211,0.999094999
212,1.118783267
213,0.896932634
214,0.648173883
215,0.253918636
216,-0.558047255
217,-0.088884118
218,-0.475568293
219,-0.284477398
220,0.025869529
221,0.006230242
222,0.090609934
223,-0.09018272
224,0.293091595
225,-0.29015647
226,-0.602057985
227,-0.709912899
228,-0.532792131
229,-0.125612423
230,-0.329351274
231,-0.290737509
232,-0.450748832
233,-0.44712073
234,0.256739599
235,0.125392779
236,-0.361876504
237,-0.278627575
238,-0.334267379
239,-0.144385743
240,0.005018829
241,-0.006729033
242,0.130886183
243,-0.104641841
244,-0.131432174
245,-0.417935816
246,-0.336812385
247,-0.290716846
248,-0.678263971
249,-0.364910744
250,-0.399685761
251,-0.134358432
252,0.021425602
253,-0.242538706
254,0.509013429
255,0.060942381
256,0.069716287
257,-0.319430484
258,-0.33980031
259,-0.001835098
260,-0.0041928
261,-0.005798823
262,0.077199865
263,0.083633723
264,0.037434631
265,0.263078374
266,-0.324515092
267,-0.32078832
268,-0.568340503
269,-0.696688764
270,-0.382549455
271,-0.137693249
272,-0.146748806
273,0.031334474
274,0.249106851
275,0.295658531
276,0.685508012
277,0.122776105
278,-0.156736216
279,-0.081947592
280,-0.007775283
281,0.003537242
282,0.034754422
283,0.246745874
284,0.316166081
285,-0.386257635
286,-0.669010227
287,-0.55502763
288,-0.219688332
289,-0.357013992
290,0.040541816
291,0.376580109
292,-0.396394363
293,0.20363732
294,-0.117565305
295,0.353369276
296,0.56409663
297,0.104535288
298,0.031861882
299,-0.107519145
300,-0.011420914
301,-0.000732402
302,0.026764855
303,-0.061223595
304,0.030699074
305,0.03047361
306,0.006836785
307,-0.664171751
308,-0.490685259
309,-0.302933327
310,-0.413038117
311,0.115030948
312,0.243613441
313,0.285856731
314,-0.050944123
315,0.171589311
316,-0.022376748
317,-0.07269502
318,-0.117917105
319,-0.054068152
320,-0.015694011
321,-0.000982119
322,0.010604669
323,-0.14842906
324,-0.02942915
325,-0.10550674
326,-0.354397803
327,-0.398008643
328,-0.536386904
329,-0.382947947
330,0.076655408
331,0.053426682
332,0.235280145
333,0.702330102
334,0.598112262
335,0.272894828
336,0.059414029
337,-0.056038889
338,-0.062929238
339,-0.025287336
340,-0.004830217
341,5.35E-05
342,0.002965701
343,-0.139226591
344,-0.087630528
345,-0.315752611
346,-0.569652648
347,-0.799037695
348,-0.291884977
349,0.276693683
350,0.423811263
351,0.171873936
352,0.004917908
353,0.063231557
354,0.144856228
355,0.095252069
356,0.076904176
357,0.007304205
358,-0.008221482
359,-0.002625105
360,0.000923485
361,1.83E-06
362,-9.24E-05
363,0.005037778
364,-0.009822722
365,-0.063053424
366,-0.177922862
367,-0.242963368
368,-0.104257939
369,0.094712468
370,0.049475374
371,0.121350138
372,0.270352447
373,0.252684338
374,0.093053642
375,0.046130984
376,0.023284844
377,0.012454477
378,0.002299925
379,6.37E-05
380,-1.08E-05
381,-7.85E-19
382,-1.82E-07
383,0.000782307
384,-0.00682966
385,-0.014451013
386,-0.009689354
387,0.013525967
388,0.005476478
389,-0.011480469
390,-0.001561534
391,0.013836474
392,0.039104234
393,0.043215978
394,0.027086135
395,0.00499175
396,0.001552596
397,0.004089074
398,0.00097221
399,-0.000115115
400,3.53E-19
401,-0.217304335
402,-3.70E-19
403,-1.03E-19
